,device_branch,device_province,device_name,device_ip,device_serial_number,start_ma_date,end_ma_date,start_license_date,end_license_date,end_sw_support_date,end_hw_support_date,start_used_date,user_created
21,DongVan,HNM,210.245.75.14,210.245.75.14,Q3AJQNWNKJMB,None,None,None,None,None,None,None,admin
22,DoQuan,NDH,113.160.218.168,113.160.218.168,Q3AJ3LCFXXRX,None,None,None,None,None,None,None,admin
23,GiaLam,HNI,14.232.155.229,14.232.155.229,Q3AJ9SE35YWX,None,None,None,None,None,None,None,admin
24,HoaBinh,HBH,118.70.131.161,118.70.131.161,Q3AJMJ26AUEY,None,None,None,None,None,None,None,admin
25,Hoai-Duc-01-Tang,HNI,14.177.66.175,14.177.66.175,Q3AJCQYL7XET,None,None,None,None,None,None,None,admin
26,HoaLu,NBH,118.70.49.84,118.70.49.84,Q3AJJVT4JSU2,None,None,None,None,None,None,None,admin
27,HoChiMinh,HCM,210.245.35.124,210.245.35.124,Q3AJYSC2XLVG,None,None,None,None,None,None,None,admin
28,HongHa,QNH,113.160.122.136,113.160.122.136,Q3AJ85YD5DUY,None,None,None,None,None,None,None,admin
29,KienGiang,KGG,210.245.110.18,210.245.110.18,Q3AJVHBXDJRD,None,None,None,None,None,None,None,admin
30,KimTan,LCI,118.70.49.127,118.70.49.127,Q3AJ7JFVUU57,None,None,None,None,None,None,None,admin
31,LeVanSy,HCM,113.161.64.161,113.161.64.161,Q3AJDHK3UDE4,None,None,None,None,None,None,None,admin
32,LeVanViet,HCM,118.69.152.66,118.69.152.66,Q3AJLTWNJBEG,None,None,None,None,None,None,None,admin
